time_h,station,observed,simulated
0,A1,1007.0,1007.3
12,A1,1005.5,1005.9
24,A1,1000.0,1001.0
36,A1,995.0,996.1
48,A1,1001.0,1000.4
60,A1,1005.0,1004.8
72,A1,1008.0,1007.7
0,A2,1008.0,1008.2
12,A2,1006.0,1006.4
24,A2,1001.0,1001.8
36,A2,996.5,997.0
48,A2,1002.0,1001.5
60,A2,1006.0,1005.6
72,A2,1009.0,1008.5
0,A3,1007.5,1007.6
12,A3,1005.8,1006.0
24,A3,1000.5,1001.1
36,A3,994.5,995.5
48,A3,1000.5,1000.2
60,A3,1005.2,1004.9
72,A3,1008.5,1008.0
0,A4,1008.2,1008.0
12,A4,1006.4,1006.1
24,A4,1001.5,1002.0
36,A4,997.0,997.4
48,A4,1002.5,1002.1
60,A4,1006.2,1005.8
72,A4,1009.2,1008.8
